age, education-num, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income
59, 9, 40, Private, United-States, Female, White, Divorced, Unmarried, Tech-support, <=50K
56, 13, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K
19, 9, 40, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K
39, 9, 80, Private, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K
49, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
23, 12, 52, Local-gov, United-States, Male, White, Never-married, Not-in-family, Protective-serv, <=50K
20, 10, 44, Private, United-States, Male, Black, Never-married, Own-child, Sales, <=50K
45, 13, 40, Private, United-States, Male, White, Divorced, Own-child, Exec-managerial, <=50K
30, 10, 40, Federal-gov, United-States, Male, White, Married-civ-spouse, Own-child, Adm-clerical, <=50K
22, 10, 15, State-gov, United-States, Male, Black, Married-civ-spouse, Husband, Other-service, <=50K
48, 7, 40, Private, Puerto-Rico, Male, White, Never-married, Unmarried, Machine-op-inspct, <=50K
21, 10, 40, Private, United-States, Male, White, Never-married, Own-child, Machine-op-inspct, <=50K
19, 9, 25, Private, United-States, Female, White, Married-AF-spouse, Wife, Adm-clerical, <=50K
48, 12, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
31, 5, 43, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K
53, 13, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
24, 13, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, <=50K
49, 9, 40, Private, United-States, Female, White, Separated, Unmarried, Adm-clerical, <=50K
25, 9, 35, Private, United-States, Male, White, Never-married, Not-in-family, Handlers-cleaners, <=50K
57, 13, 40, Federal-gov, United-States, Male, Black, Married-civ-spouse, Husband, Prof-specialty, >50K
53, 9, 38, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K
44, 14, 40, Private, United-States, Female, White, Divorced, Unmarried, Exec-managerial, <=50K
41, 11, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
29, 11, 43, Private, United-States, Male, White, Never-married, Not-in-family, Prof-specialty, <=50K
25, 10, 40, Private, United-States, Female, Other, Married-civ-spouse, Wife, Exec-managerial, <=50K
47, 15, 60, Private, Honduras, Female, White, Married-civ-spouse, Wife, Prof-specialty, >50K
50, 13, 55, Federal-gov, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, >50K
47, 9, 60, Self-emp-inc, United-States, Male, White, Divorced, Not-in-family, Exec-managerial, <=50K
43, 10, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K
46, 3, 40, Private, Mexico, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K
35, 11, 40, Private, Puerto-Rico, Male, White, Married-civ-spouse, Husband, Other-service, <=50K
41, 9, 48, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, <=50K
30, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K
30, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
48, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K
42, 16, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
29, 10, 58, Private, United-States, Male, White, Divorced, Not-in-family, Tech-support, <=50K
36, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
28, 10, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K
53, 9, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Adm-clerical, >50K
49, 10, 50, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
19, 10, 32, Private, United-States, Male, White, Never-married, Own-child, Prof-specialty, <=50K
31, 13, 40, Private, United-States, Female, Black, Separated, Own-child, Sales, <=50K
29, 13, 70, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K
23, 10, 40, Private, United-States, Male, White, Never-married, Not-in-family, Machine-op-inspct, <=50K
79, 10, 20, Private, United-States, Male, White, Married-civ-spouse, Other-relative, Prof-specialty, <=50K
27, 9, 40, Private, Mexico, Male, White, Never-married, Own-child, Other-service, <=50K
40, 12, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, <=50K
18, 7, 22, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K
31, 4, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, <=50K
18, 9, 30, Private, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K
52, 13, 40, Private, Cuba, Male, White, Married-civ-spouse, Husband, Other-service, <=50K
46, 9, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Other-service, <=50K
59, 9, 48, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
44, 9, 40, Private, United-States, Female, White, Divorced, Not-in-family, Craft-repair, >50K
53, 9, 35, Private, United-States, Female, White, Divorced, Own-child, Sales, <=50K
49, 9, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, >50K
33, 14, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
30, 5, 40, Private, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K
43, 16, 50, Federal-gov, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K
57, 11, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
37, 10, 40, Private, United-States, Female, White, Divorced, Unmarried, Craft-repair, <=50K
28, 10, 25, Private, United-States, Female, Black, Divorced, Unmarried, Machine-op-inspct, <=50K
34, 13, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, >50K
29, 10, 50, Local-gov, United-States, Male, White, Never-married, Not-in-family, Handlers-cleaners, <=50K
48, 16, 60, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
37, 10, 48, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K
48, 12, 40, Private, England, Female, White, Divorced, Unmarried, Exec-managerial, <=50K
32, 9, 40, Federal-gov, United-States, Male, Black, Never-married, Own-child, Other-service, <=50K
76, 14, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
44, 13, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
47, 14, 50, Self-emp-not-inc, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K
20, 10, 40, Private, United-States, Female, White, Never-married, Own-child, Tech-support, <=50K
29, 9, 40, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K
32, 9, 40, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K
30, 7, 40, Private, United-States, Male, White, Never-married, Own-child, Handlers-cleaners, <=50K
31, 9, 40, Local-gov, United-States, Female, White, Never-married, Not-in-family, Adm-clerical, <=50K
42, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Handlers-cleaners, <=50K
24, 13, 40, Private, United-States, Male, White, Never-married, Other-relative, Sales, <=50K
38, 15, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
56, 9, 50, Self-emp-not-inc, Canada, Male, White, Married-civ-spouse, Husband, Other-service, >50K
28, 10, 25, Private, United-States, Female, White, Married-civ-spouse, Wife, Sales, <=50K
36, 9, 40, Private, United-States, Female, White, Never-married, Own-child, Machine-op-inspct, <=50K
53, 5, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Handlers-cleaners, <=50K
56, 10, 50, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
49, 11, 40, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Craft-repair, >50K
55, 10, 56, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
22, 9, 41, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K
21, 10, 40, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K
40, 13, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K
30, 13, 40, Private, Germany, Male, Black, Never-married, Own-child, Exec-managerial, <=50K
29, 13, 50, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
19, 10, 35, Private, United-States, Male, Black, Never-married, Own-child, Other-service, <=50K
47, 13, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Exec-managerial, >50K
20, 10, 28, Private, United-States, Female, White, Never-married, Own-child, Adm-clerical, <=50K
31, 12, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K
39, 10, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K
28, 12, 60, Private, United-States, Female, White, Never-married, Not-in-family, Sales, <=50K
24, 9, 40, Private, United-States, Female, White, Never-married, Not-in-family, Other-service, <=50K
38, 9, 35, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
37, 13, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
46, 12, 36, Private, United-States, Female, Black, Divorced, Not-in-family, Tech-support, <=50K
38, 14, 40, Federal-gov, Iran, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
43, 9, 60, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
27, 11, 35, Private, United-States, Female, White, Married-civ-spouse, Wife, Adm-clerical, <=50K
20, 10, 20, Private, United-States, Male, White, Never-married, Own-child, Sales, <=50K
49, 10, 40, Private, United-States, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Craft-repair, >50K
61, 9, 40, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
27, 10, 40, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K
19, 10, 30, Private, Mexico, Male, White, Never-married, Own-child, Other-service, <=50K
45, 11, 40, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K
70, 10, 40, Private, United-States, Male, White, Never-married, Other-relative, Tech-support, <=50K
31, 9, 30, Private, United-States, Female, Black, Never-married, Unmarried, Transport-moving, <=50K
22, 10, 24, Private, United-States, Male, White, Married-civ-spouse, Husband, Other-service, <=50K
36, 9, 24, Private, United-States, Female, White, Widowed, Unmarried, Other-service, <=50K
64, 7, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
47, 10, 38, Local-gov, Mexico, Female, White, Divorced, Unmarried, Adm-clerical, <=50K
34, 9, 40, Private, United-States, Female, White, Never-married, Not-in-family, Adm-clerical, <=50K
33, 13, 40, Private, Philippines, Female, Asian-Pac-Islander, Never-married, Other-relative, Exec-managerial, <=50K
21, 9, 35, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K
48, 9, 46, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
23, 13, 40, Private, United-States, Male, White, Never-married, Not-in-family, Handlers-cleaners, <=50K
71, 10, 2, Self-emp-not-inc, United-States, Male, Black, Separated, Unmarried, Sales, <=50K
29, 9, 60, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K
42, 13, 50, Private, United-States, Male, Black, Separated, Other-relative, Other-service, <=50K
25, 9, 40, Private, United-States, Female, White, Never-married, Unmarried, Other-service, <=50K
44, 14, 40, Self-emp-inc, United-States, Female, Asian-Pac-Islander, Divorced, Unmarried, Exec-managerial, <=50K
28, 9, 40, Private, England, Female, Asian-Pac-Islander, Never-married, Not-in-family, Exec-managerial, <=50K
45, 14, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K
36, 10, 40, Private, Mexico, Female, White, Divorced, Unmarried, Other-service, <=50K
39, 12, 42, Federal-gov, United-States, Male, White, Never-married, Not-in-family, Exec-managerial, <=50K
46, 14, 40, State-gov, United-States, Male, White, Widowed, Unmarried, Protective-serv, <=50K
18, 7, 16, Private, United-States, Male, White, Never-married, Own-child, Handlers-cleaners, <=50K
66, 11, 20, Local-gov, United-States, Female, White, Widowed, Not-in-family, Prof-specialty, <=50K
27, 9, 40, Private, United-States, Male, White, Never-married, Not-in-family, Other-service, <=50K
28, 9, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, <=50K
51, 10, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K
27, 13, 50, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K
28, 13, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
27, 9, 25, Private, United-States, Female, White, Married-spouse-absent, Unmarried, Sales, <=50K
21, 9, 40, Private, United-States, Male, Black, Never-married, Own-child, Craft-repair, <=50K
34, 9, 40, Private, United-States, Male, Black, Never-married, Not-in-family, Handlers-cleaners, <=50K
18, 9, 12, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K
33, 13, 65, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
44, 10, 38, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Exec-managerial, >50K
43, 10, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K
30, 10, 45, Private, United-States, Male, Black, Never-married, Not-in-family, Craft-repair, <=50K
40, 4, 40, Private, Mexico, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, >50K
37, 10, 42, Federal-gov, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K
34, 9, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Adm-clerical, <=50K
41, 13, 40, Self-emp-not-inc, United-States, Female, White, Divorced, Not-in-family, Exec-managerial, <=50K
31, 14, 50, Private, United-States, Female, White, Married-civ-spouse, Wife, Prof-specialty, <=50K
58, 16, 1, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
38, 10, 28, Private, United-States, Female, Black, Divorced, Not-in-family, Machine-op-inspct, <=50K
24, 10, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K
41, 13, 40, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Craft-repair, <=50K
47, 10, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, <=50K
41, 13, 24, Federal-gov, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, <=50K
23, 3, 40, Private, Mexico, Male, White, Married-civ-spouse, Other-relative, Transport-moving, <=50K
36, 10, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K
40, 14, 55, Federal-gov, United-States, Female, White, Never-married, Not-in-family, Exec-managerial, >50K
35, 14, 40, Private, United-States, Male, White, Married-civ-spouse, Other-relative, Prof-specialty, >50K
24, 9, 40, Self-emp-not-inc, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K
26, 14, 40, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K
51, 13, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
42, 10, 40, Local-gov, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K
37, 9, 35, State-gov, United-States, Female, White, Divorced, Unmarried, Adm-clerical, <=50K
18, 7, 40, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K
36, 13, 36, Private, United-States, Male, Black, Married-civ-spouse, Husband, Other-service, >50K
35, 9, 60, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K
58, 9, 35, Self-emp-inc, United-States, Female, White, Married-civ-spouse, Wife, Sales, >50K
17, 7, 12, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K
44, 9, 40, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Transport-moving, <=50K
37, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K
35, 10, 40, Private, United-States, Female, Amer-Indian-Eskimo, Never-married, Not-in-family, Sales, <=50K
60, 9, 40, Private, United-States, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Craft-repair, <=50K
54, 4, 40, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, >50K
37, 13, 60, Private, United-States, Male, Black, Never-married, Not-in-family, Exec-managerial, >50K
50, 12, 40, Private, United-States, Female, White, Divorced, Not-in-family, Sales, <=50K
38, 13, 50, Private, Poland, Male, White, Married-civ-spouse, Husband, Sales, <=50K
45, 13, 55, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
25, 6, 40, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K
31, 10, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Handlers-cleaners, <=50K
90, 9, 40, Private, United-States, Male, Black, Never-married, Not-in-family, Other-service, <=50K
54, 9, 20, Private, United-States, Male, Black, Married-civ-spouse, Husband, Adm-clerical, <=50K
53, 1, 35, Local-gov, United-States, Female, White, Never-married, Not-in-family, Machine-op-inspct, <=50K
18, 9, 40, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K
66, 9, 50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, <=50K
75, 11, 20, Private, Columbia, Female, White, Widowed, Not-in-family, Adm-clerical, <=50K
65, 9, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K
35, 7, 40, Private, United-States, Male, Black, Separated, Not-in-family, Transport-moving, <=50K
41, 9, 38, Private, United-States, Female, Black, Divorced, Unmarried, Sales, <=50K
25, 10, 42, Private, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K
33, 10, 40, Private, United-States, Female, Other, Divorced, Other-relative, Craft-repair, <=50K
28, 15, 55, Private, United-States, Male, White, Never-married, Not-in-family, Prof-specialty, >50K
59, 9, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Other-service, <=50K
40, 10, 38, State-gov, United-States, Female, White, Never-married, Not-in-family, Adm-clerical, <=50K
41, 13, 50, Private, Iran, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
38, 14, 70, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
23, 9, 40, Private, United-States, Male, White, Never-married, Own-child, Transport-moving, <=50K
40, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
41, 9, 20, Self-emp-not-inc, United-States, Female, White, Married-civ-spouse, Wife, Other-service, <=50K
24, 12, 50, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, <=50K
38, 10, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K
58, 9, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K
32, 9, 34, Private, United-States, Female, White, Never-married, Not-in-family, Other-service, <=50K
40, 12, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K
41, 15, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Prof-specialty, >50K
42, 13, 40, Private, United-States, Female, Black, Married-civ-spouse, Wife, Adm-clerical, <=50K
59, 6, 30, Local-gov, United-States, Female, Black, Widowed, Unmarried, Other-service, <=50K
19, 10, 40, Local-gov, United-States, Male, White, Never-married, Own-child, Adm-clerical, <=50K
58, 10, 20, Private, United-States, Male, White, Never-married, Not-in-family, Transport-moving, <=50K
42, 9, 40, Self-emp-not-inc, Cambodia, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Farming-fishing, >50K
20, 9, 40, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K
32, 9, 30, Private, United-States, Female, White, Separated, Not-in-family, Other-service, <=50K
45, 11, 45, Private, United-States, Female, White, Widowed, Not-in-family, Exec-managerial, <=50K
50, 4, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K
36, 13, 40, Private, United-States, Female, White, Divorced, Own-child, Prof-specialty, <=50K
45, 9, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
17, 7, 12, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K
59, 10, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
26, 7, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
37, 10, 75, Self-emp-inc, Thailand, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Exec-managerial, >50K
64, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
33, 13, 45, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K
33, 9, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Craft-repair, >50K
61, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K
17, 5, 24, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K
50, 14, 98, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, <=50K
27, 14, 35, Local-gov, United-States, Male, White, Never-married, Own-child, Prof-specialty, <=50K
30, 9, 40, Private, United-States, Female, White, Divorced, Own-child, Prof-specialty, <=50K
43, 9, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Handlers-cleaners, <=50K
44, 10, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K
35, 10, 40, Private, United-States, Female, White, Never-married, Not-in-family, Exec-managerial, <=50K
25, 10, 40, Private, United-States, Female, White, Never-married, Own-child, Tech-support, <=50K
24, 10, 48, Private, United-States, Female, White, Married-civ-spouse, Wife, Machine-op-inspct, >50K
22, 13, 15, Private, Germany, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K
42, 10, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K
34, 12, 45, Private, United-States, Female, Black, Divorced, Unmarried, Sales, <=50K
60, 13, 42, Private, United-States, Female, White, Divorced, Not-in-family, Prof-specialty, <=50K
21, 9, 40, Private, United-States, Male, White, Never-married, Own-child, Handlers-cleaners, <=50K
57, 14, 40, Federal-gov, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K
41, 15, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K
50, 10, 45, Private, United-States, Male, White, Divorced, Not-in-family, Other-service, <=50K
25, 13, 40, Private, United-States, Female, White, Never-married, Not-in-family, Exec-managerial, <=50K
50, 4, 40, Private, Ecuador, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
36, 13, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K
31, 9, 40, Private, United-States, Female, White, Divorced, Not-in-family, Prof-specialty, <=50K
29, 13, 56, Local-gov, United-States, Male, White, Never-married, Not-in-family, Protective-serv, <=50K
21, 10, 45, Private, United-States, Male, White, Never-married, Own-child, Sales, <=50K
27, 13, 40, Private, United-States, Female, Black, Never-married, Unmarried, Tech-support, <=50K
65, 9, 16, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K
37, 13, 60, Self-emp-inc, United-States, Female, White, Divorced, Not-in-family, Sales, <=50K
24, 9, 40, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K
38, 9, 80, Private, United-States, Male, White, Divorced, Not-in-family, Sales, <=50K
48, 13, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K
21, 10, 25, Private, United-States, Female, Asian-Pac-Islander, Never-married, Not-in-family, Other-service, <=50K
31, 9, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, >50K
55, 9, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K
24, 10, 40, Private, Laos, Female, Asian-Pac-Islander, Married-civ-spouse, Wife, Adm-clerical, <=50K
43, 9, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K
26, 12, 45, Private, United-States, Male, White, Never-married, Not-in-family, Tech-support, <=50K
46, 12, 33, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K
35, 12, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K
41, 10, 54, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, >50K
26, 13, 40, Private, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K
34, 14, 35, Private, Taiwan, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Exec-managerial, >50K
36, 13, 40, Self-emp-not-inc, United-States, Female, Black, Divorced, Not-in-family, Prof-specialty, >50K
22, 10, 15, Private, United-States, Male, White, Never-married, Own-child, Sales, <=50K
24, 10, 40, Private, United-States, Male, White, Never-married, Not-in-family, Machine-op-inspct, <=50K
77, 10, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K
22, 3, 40, Private, Mexico, Female, White, Married-civ-spouse, Other-relative, Machine-op-inspct, <=50K
29, 10, 40, Private, United-States, Female, White, Never-married, Not-in-family, Tech-support, <=50K
62, 9, 24, Private, United-States, Female, White, Widowed, Not-in-family, Other-service, <=50K
39, 9, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K
43, 10, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K
35, 9, 45, Private, United-States, Male, White, Divorced, Not-in-family, Transport-moving, <=50K
