age, hours-per-week, workclass, native-country, sex, race, marital-status, relationship, occupation, income, education-num
44, 40, Private, United-States, Female, White, Divorced, Not-in-family, Craft-repair, >50K, 9
53, 35, Private, United-States, Female, White, Divorced, Own-child, Sales, <=50K, 9
49, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, >50K, 9
33, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 14
30, 40, Private, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K, 5
43, 50, Federal-gov, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K, 16
57, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 11
37, 40, Private, United-States, Female, White, Divorced, Unmarried, Craft-repair, <=50K, 10
28, 25, Private, United-States, Female, Black, Divorced, Unmarried, Machine-op-inspct, <=50K, 10
34, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, >50K, 13
29, 50, Local-gov, United-States, Male, White, Never-married, Not-in-family, Handlers-cleaners, <=50K, 10
48, 60, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 16
37, 48, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K, 10
48, 40, Private, England, Female, White, Divorced, Unmarried, Exec-managerial, <=50K, 12
32, 40, Federal-gov, United-States, Male, Black, Never-married, Own-child, Other-service, <=50K, 9
76, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
44, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
47, 50, Self-emp-not-inc, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K, 14
20, 40, Private, United-States, Female, White, Never-married, Own-child, Tech-support, <=50K, 10
29, 40, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K, 9
32, 40, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K, 9
30, 40, Private, United-States, Male, White, Never-married, Own-child, Handlers-cleaners, <=50K, 7
31, 40, Local-gov, United-States, Female, White, Never-married, Not-in-family, Adm-clerical, <=50K, 9
42, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Handlers-cleaners, <=50K, 9
24, 40, Private, United-States, Male, White, Never-married, Other-relative, Sales, <=50K, 13
38, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 15
56, 50, Self-emp-not-inc, Canada, Male, White, Married-civ-spouse, Husband, Other-service, >50K, 9
28, 25, Private, United-States, Female, White, Married-civ-spouse, Wife, Sales, <=50K, 10
36, 40, Private, United-States, Female, White, Never-married, Own-child, Machine-op-inspct, <=50K, 9
53, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Handlers-cleaners, <=50K, 5
56, 50, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 10
49, 40, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Craft-repair, >50K, 11
55, 56, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 10
22, 41, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K, 9
21, 40, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K, 10
40, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K, 13
30, 40, Private, Germany, Male, Black, Never-married, Own-child, Exec-managerial, <=50K, 13
29, 50, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
19, 35, Private, United-States, Male, Black, Never-married, Own-child, Other-service, <=50K, 10
47, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Exec-managerial, >50K, 13
20, 28, Private, United-States, Female, White, Never-married, Own-child, Adm-clerical, <=50K, 10
31, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K, 12
39, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K, 10
28, 60, Private, United-States, Female, White, Never-married, Not-in-family, Sales, <=50K, 12
24, 40, Private, United-States, Female, White, Never-married, Not-in-family, Other-service, <=50K, 9
38, 35, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
37, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 13
46, 36, Private, United-States, Female, Black, Divorced, Not-in-family, Tech-support, <=50K, 12
38, 40, Federal-gov, Iran, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 14
43, 60, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
27, 35, Private, United-States, Female, White, Married-civ-spouse, Wife, Adm-clerical, <=50K, 11
20, 20, Private, United-States, Male, White, Never-married, Own-child, Sales, <=50K, 10
49, 40, Private, United-States, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Craft-repair, >50K, 10
61, 40, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
27, 40, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K, 10
19, 30, Private, Mexico, Male, White, Never-married, Own-child, Other-service, <=50K, 10
45, 40, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, >50K, 11
70, 40, Private, United-States, Male, White, Never-married, Other-relative, Tech-support, <=50K, 10
31, 30, Private, United-States, Female, Black, Never-married, Unmarried, Transport-moving, <=50K, 9
22, 24, Private, United-States, Male, White, Married-civ-spouse, Husband, Other-service, <=50K, 10
36, 24, Private, United-States, Female, White, Widowed, Unmarried, Other-service, <=50K, 9
64, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 7
47, 38, Local-gov, Mexico, Female, White, Divorced, Unmarried, Adm-clerical, <=50K, 10
34, 40, Private, United-States, Female, White, Never-married, Not-in-family, Adm-clerical, <=50K, 9
33, 40, Private, Philippines, Female, Asian-Pac-Islander, Never-married, Other-relative, Exec-managerial, <=50K, 13
21, 35, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K, 9
48, 46, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
23, 40, Private, United-States, Male, White, Never-married, Not-in-family, Handlers-cleaners, <=50K, 13
71, 2, Self-emp-not-inc, United-States, Male, Black, Separated, Unmarried, Sales, <=50K, 10
29, 60, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K, 9
42, 50, Private, United-States, Male, Black, Separated, Other-relative, Other-service, <=50K, 13
25, 40, Private, United-States, Female, White, Never-married, Unmarried, Other-service, <=50K, 9
44, 40, Self-emp-inc, United-States, Female, Asian-Pac-Islander, Divorced, Unmarried, Exec-managerial, <=50K, 14
28, 40, Private, England, Female, Asian-Pac-Islander, Never-married, Not-in-family, Exec-managerial, <=50K, 9
45, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K, 14
36, 40, Private, Mexico, Female, White, Divorced, Unmarried, Other-service, <=50K, 10
39, 42, Federal-gov, United-States, Male, White, Never-married, Not-in-family, Exec-managerial, <=50K, 12
46, 40, State-gov, United-States, Male, White, Widowed, Unmarried, Protective-serv, <=50K, 14
18, 16, Private, United-States, Male, White, Never-married, Own-child, Handlers-cleaners, <=50K, 7
66, 20, Local-gov, United-States, Female, White, Widowed, Not-in-family, Prof-specialty, <=50K, 11
27, 40, Private, United-States, Male, White, Never-married, Not-in-family, Other-service, <=50K, 9
28, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, <=50K, 9
51, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K, 10
27, 50, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K, 13
28, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
27, 25, Private, United-States, Female, White, Married-spouse-absent, Unmarried, Sales, <=50K, 9
21, 40, Private, United-States, Male, Black, Never-married, Own-child, Craft-repair, <=50K, 9
34, 40, Private, United-States, Male, Black, Never-married, Not-in-family, Handlers-cleaners, <=50K, 9
18, 12, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K, 9
33, 65, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 13
44, 38, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
43, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K, 10
30, 45, Private, United-States, Male, Black, Never-married, Not-in-family, Craft-repair, <=50K, 10
40, 40, Private, Mexico, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, >50K, 4
37, 42, Federal-gov, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K, 10
34, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Adm-clerical, <=50K, 9
41, 40, Self-emp-not-inc, United-States, Female, White, Divorced, Not-in-family, Exec-managerial, <=50K, 13
31, 50, Private, United-States, Female, White, Married-civ-spouse, Wife, Prof-specialty, <=50K, 14
58, 1, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 16
38, 28, Private, United-States, Female, Black, Divorced, Not-in-family, Machine-op-inspct, <=50K, 10
24, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, <=50K, 10
41, 40, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Craft-repair, <=50K, 13
47, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, <=50K, 10
41, 24, Federal-gov, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, <=50K, 13
23, 40, Private, Mexico, Male, White, Married-civ-spouse, Other-relative, Transport-moving, <=50K, 3
36, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K, 10
40, 55, Federal-gov, United-States, Female, White, Never-married, Not-in-family, Exec-managerial, >50K, 14
35, 40, Private, United-States, Male, White, Married-civ-spouse, Other-relative, Prof-specialty, >50K, 14
24, 40, Self-emp-not-inc, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K, 9
26, 40, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K, 14
51, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
42, 40, Local-gov, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K, 10
37, 35, State-gov, United-States, Female, White, Divorced, Unmarried, Adm-clerical, <=50K, 9
18, 40, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K, 7
36, 36, Private, United-States, Male, Black, Married-civ-spouse, Husband, Other-service, >50K, 13
35, 60, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K, 9
58, 35, Self-emp-inc, United-States, Female, White, Married-civ-spouse, Wife, Sales, >50K, 9
17, 12, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K, 7
44, 40, Local-gov, United-States, Male, Black, Married-civ-spouse, Husband, Transport-moving, <=50K, 9
37, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K, 9
35, 40, Private, United-States, Female, Amer-Indian-Eskimo, Never-married, Not-in-family, Sales, <=50K, 10
60, 40, Private, United-States, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Craft-repair, <=50K, 9
54, 40, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Machine-op-inspct, >50K, 4
37, 60, Private, United-States, Male, Black, Never-married, Not-in-family, Exec-managerial, >50K, 13
50, 40, Private, United-States, Female, White, Divorced, Not-in-family, Sales, <=50K, 12
38, 50, Private, Poland, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 13
45, 55, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 13
25, 40, Private, United-States, Male, White, Never-married, Not-in-family, Craft-repair, <=50K, 6
31, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Handlers-cleaners, <=50K, 10
90, 40, Private, United-States, Male, Black, Never-married, Not-in-family, Other-service, <=50K, 9
54, 20, Private, United-States, Male, Black, Married-civ-spouse, Husband, Adm-clerical, <=50K, 9
53, 35, Local-gov, United-States, Female, White, Never-married, Not-in-family, Machine-op-inspct, <=50K, 1
18, 40, Private, United-States, Female, White, Never-married, Own-child, Sales, <=50K, 9
66, 50, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, <=50K, 9
75, 20, Private, Columbia, Female, White, Widowed, Not-in-family, Adm-clerical, <=50K, 11
65, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K, 9
35, 40, Private, United-States, Male, Black, Separated, Not-in-family, Transport-moving, <=50K, 7
41, 38, Private, United-States, Female, Black, Divorced, Unmarried, Sales, <=50K, 9
25, 42, Private, United-States, Male, White, Never-married, Not-in-family, Adm-clerical, <=50K, 10
33, 40, Private, United-States, Female, Other, Divorced, Other-relative, Craft-repair, <=50K, 10
28, 55, Private, United-States, Male, White, Never-married, Not-in-family, Prof-specialty, >50K, 15
59, 40, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Other-service, <=50K, 9
40, 38, State-gov, United-States, Female, White, Never-married, Not-in-family, Adm-clerical, <=50K, 10
41, 50, Private, Iran, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 13
38, 70, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
23, 40, Private, United-States, Male, White, Never-married, Own-child, Transport-moving, <=50K, 9
40, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 13
41, 20, Self-emp-not-inc, United-States, Female, White, Married-civ-spouse, Wife, Other-service, <=50K, 9
24, 50, State-gov, United-States, Male, White, Married-civ-spouse, Husband, Protective-serv, <=50K, 12
38, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K, 10
58, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K, 9
32, 34, Private, United-States, Female, White, Never-married, Not-in-family, Other-service, <=50K, 9
40, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Tech-support, >50K, 12
41, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Prof-specialty, >50K, 15
42, 40, Private, United-States, Female, Black, Married-civ-spouse, Wife, Adm-clerical, <=50K, 13
59, 30, Local-gov, United-States, Female, Black, Widowed, Unmarried, Other-service, <=50K, 6
19, 40, Local-gov, United-States, Male, White, Never-married, Own-child, Adm-clerical, <=50K, 10
58, 20, Private, United-States, Male, White, Never-married, Not-in-family, Transport-moving, <=50K, 10
42, 40, Self-emp-not-inc, Cambodia, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Farming-fishing, >50K, 9
20, 40, Private, United-States, Female, White, Never-married, Own-child, Other-service, <=50K, 9
32, 30, Private, United-States, Female, White, Separated, Not-in-family, Other-service, <=50K, 9
45, 45, Private, United-States, Female, White, Widowed, Not-in-family, Exec-managerial, <=50K, 11
50, 40, Private, United-States, Male, White, Divorced, Not-in-family, Craft-repair, <=50K, 4
36, 40, Private, United-States, Female, White, Divorced, Own-child, Prof-specialty, <=50K, 13
45, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 9
17, 12, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K, 7
59, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 10
26, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 7
37, 75, Self-emp-inc, Thailand, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Exec-managerial, >50K, 10
64, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
33, 45, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K, 13
33, 40, Private, United-States, Female, White, Married-civ-spouse, Wife, Craft-repair, >50K, 9
61, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, >50K, 9
17, 24, Private, United-States, Male, White, Never-married, Own-child, Other-service, <=50K, 5
50, 98, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, <=50K, 14
27, 35, Local-gov, United-States, Male, White, Never-married, Own-child, Prof-specialty, <=50K, 14
30, 40, Private, United-States, Female, White, Divorced, Own-child, Prof-specialty, <=50K, 9
43, 40, Private, United-States, Male, Black, Married-civ-spouse, Husband, Handlers-cleaners, <=50K, 9
44, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K, 10
35, 40, Private, United-States, Female, White, Never-married, Not-in-family, Exec-managerial, <=50K, 10
25, 40, Private, United-States, Female, White, Never-married, Own-child, Tech-support, <=50K, 10
24, 48, Private, United-States, Female, White, Married-civ-spouse, Wife, Machine-op-inspct, >50K, 10
22, 15, Private, Germany, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K, 13
42, 40, Local-gov, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, >50K, 10
34, 45, Private, United-States, Female, Black, Divorced, Unmarried, Sales, <=50K, 12
60, 42, Private, United-States, Female, White, Divorced, Not-in-family, Prof-specialty, <=50K, 13
21, 40, Private, United-States, Male, White, Never-married, Own-child, Handlers-cleaners, <=50K, 9
57, 40, Federal-gov, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K, 14
41, 60, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, >50K, 15
50, 45, Private, United-States, Male, White, Divorced, Not-in-family, Other-service, <=50K, 10
25, 40, Private, United-States, Female, White, Never-married, Not-in-family, Exec-managerial, <=50K, 13
50, 40, Private, Ecuador, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 4
36, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Prof-specialty, <=50K, 13
31, 40, Private, United-States, Female, White, Divorced, Not-in-family, Prof-specialty, <=50K, 9
29, 56, Local-gov, United-States, Male, White, Never-married, Not-in-family, Protective-serv, <=50K, 13
21, 45, Private, United-States, Male, White, Never-married, Own-child, Sales, <=50K, 10
27, 40, Private, United-States, Female, Black, Never-married, Unmarried, Tech-support, <=50K, 13
65, 16, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, <=50K, 9
37, 60, Self-emp-inc, United-States, Female, White, Divorced, Not-in-family, Sales, <=50K, 13
24, 40, Private, United-States, Male, White, Never-married, Own-child, Craft-repair, <=50K, 9
38, 80, Private, United-States, Male, White, Divorced, Not-in-family, Sales, <=50K, 9
48, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K, 13
21, 25, Private, United-States, Female, Asian-Pac-Islander, Never-married, Not-in-family, Other-service, <=50K, 10
31, 45, Private, United-States, Male, White, Married-civ-spouse, Husband, Transport-moving, >50K, 9
55, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Sales, >50K, 9
24, 40, Private, Laos, Female, Asian-Pac-Islander, Married-civ-spouse, Wife, Adm-clerical, <=50K, 10
43, 40, Private, United-States, Female, White, Divorced, Not-in-family, Adm-clerical, <=50K, 9
26, 45, Private, United-States, Male, White, Never-married, Not-in-family, Tech-support, <=50K, 12
46, 33, Private, United-States, Female, White, Never-married, Not-in-family, Prof-specialty, <=50K, 12
35, 40, Private, United-States, Male, White, Married-civ-spouse, Husband, Adm-clerical, >50K, 12
41, 54, Self-emp-inc, United-States, Male, White, Married-civ-spouse, Husband, Farming-fishing, >50K, 10
26, 40, Private, United-States, Male, White, Never-married, Not-in-family, Sales, <=50K, 13
34, 35, Private, Taiwan, Male, Asian-Pac-Islander, Married-civ-spouse, Husband, Exec-managerial, >50K, 14
36, 40, Self-emp-not-inc, United-States, Female, Black, Divorced, Not-in-family, Prof-specialty, >50K, 13
22, 15, Private, United-States, Male, White, Never-married, Own-child, Sales, <=50K, 10
24, 40, Private, United-States, Male, White, Never-married, Not-in-family, Machine-op-inspct, <=50K, 10
77, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Sales, <=50K, 10
22, 40, Private, Mexico, Female, White, Married-civ-spouse, Other-relative, Machine-op-inspct, <=50K, 3
29, 40, Private, United-States, Female, White, Never-married, Not-in-family, Tech-support, <=50K, 10
62, 24, Private, United-States, Female, White, Widowed, Not-in-family, Other-service, <=50K, 9
39, 40, Self-emp-not-inc, United-States, Male, White, Married-civ-spouse, Husband, Exec-managerial, <=50K, 9
43, 50, Private, United-States, Male, White, Married-civ-spouse, Husband, Craft-repair, <=50K, 10
35, 45, Private, United-States, Male, White, Divorced, Not-in-family, Transport-moving, <=50K, 9
